"customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","verified_purchase","review_headline","review_body","review_date","marketplace","year"
"13069613","RWB85TRJPI5Z1","B0041LG08U","377907320","Seiko Men's SNZH53 Seiko 5 Automatic Dark Blue Dial Stainless Steel Watch","Watches","4","2","2","Y","Great watch, subpar bracelet","The SNZH53 is a very good automatic watch at its price point. It keeps good time, has a decent power reserve and the deep blue of the face and bezel is very pretty. The crystal is fairly scratch resistant. Not as good as high end watches, but the hardlex will prevent all but the hardest bangs from leaving a mark. The worst thing about this watch is the bracelet. It feels light and cheap. If you're planning to wear it on an aftermarket strap, as I do, that's not an issue. Though it's a &#34;divers watch&#34; it doesn't have a screw-down crown so it's not really great for doing a lot of underwater wear. That said, I've gone swimming with it on and had no ill effects.","2015-08-31","US","2015"
"33923529","R102628UTIS8PD","B004PKTU5M","317306776","Bellefit Postpartum Girdle with Zipper, Medical-Grade, Compression & Support","Apparel","3","0","3","Y","The Bellefit people have sent me an email to let me know they strive for excellent customer service","Too small. I couldn't even pull it on to try this belt on but it was a hassle free return. The Bellefit people have sent me an email to let me know they strive for excellent customer service. Wish stores sold this product so I can try it on in person for correct sizing","2015-08-31","US","2015"
"34831859","R183D7E2WM33XE","B009KWU6Q2","560423029","Hook","Digital_Video_Download","4","1","1","Y","Good family movie","Good family movie.  It's fairly long, making it a little tough for kids with a short attention span.","2015-08-31","US","2015"
"23583629","R9LOP49WTNCC9","B00004RJ71","658720709","Blood In, Blood Out","Video DVD","5","0","0","Y","Five Stars","Good movie","2015-08-31","US","2015"
"26211978","R1YYD5SR2E7IJ9","B00LD1OHE0","556487837","Confess: A Novel","Digital_Ebook_Purchase","5","0","0","Y","Five Stars","Great book! Couldn't put it down!","2015-08-31","US","2015"
"21676546","R33ZMJPM5KYLXA","B006BDHAX0","905340518","Mahjong Deluxe HD","Mobile_Apps","5","0","0","Y","Five Stars","It is fun to play on my Kindle in the evenings as TV has sucked lately.","2015-08-31","US","2015"
"21463959","R1HENLLE9MQ1M2","B001J6OMM6","249926549","Maidenform Women's Custom Lift Tailored Satin Demi Bra","Apparel","1","0","0","Y","Not for me","This bra is cheap and doesn't fit well.  I'm returning it.","2015-08-31","US","2015"
"35539516","RMPE4WCEIEBKA","B007944TE8","973845141","In Treatment: Season 2","Digital_Video_Download","5","0","0","Y","Five Stars","Superb writing and acting.","2015-08-31","US","2015"
"26338037","RD7TD50O4BQTX","B00ES29WSC","725864791","Tuesdays with Morrie: an Old Man, a Young Man, and Life's Greatest Lesson, 1st edition","Books","5","0","0","Y","such a great book!","item as described. such a great book!","2015-08-31","US","2015"
"26087382","R3J88BPK7HM5R9","B006885LZM","224139336","The Pacific Season 1","Digital_Video_Download","5","0","0","Y","Five Stars","Great mini series....have watched and enjoyed several times.","2015-08-31","US","2015"
"26739366","R2IBZD4PQK17DF","B0040I09RM","117036067","Sons of Anarchy Season 1","Digital_Video_Download","5","0","0","Y","Five Stars","Awesome!","2015-08-31","US","2015"
"39833477","R2QNS9M4IOM55E","B00BH0VSM6","40427521","The Bat: A Harry Hole Novel (1) (Harry Hole Series)","Digital_Ebook_Purchase","3","0","0","Y","An innocent Harry Hole?","Not near as good as his later books.  Harry Hole is a much different character in this one and that's not a good thing.","2015-08-31","US","2015"
"18432566","R3DLDVH4MOVH8Y","B007944TE8","973845141","In Treatment: Season 2","Digital_Video_Download","4","0","0","Y","thoughtful entertainment","Enjoyed season two almost as much as season one. Interesting story lines and characters. Binge-worthy!","2015-08-31","US","2015"
"14429701","R2UJWLN21EM8NQ","B00E8KLWB4","488246640","The Secret Society® - Hidden Mystery","Mobile_Apps","4","0","0","Y","love","Wish the Facebook version had magnifer.","2015-08-31","US","2015"
"46343695","R3YJPJCRKZRG6","B00FAPF5U0","46324555","Candy Crush Saga","Mobile_Apps","5","0","0","Y","love","Love this app","2015-08-31","US","2015"
"4347805","R2ZBOSAQAJ4FTZ","B009ZFPQOQ","731856548","Waze Social GPS, Maps & Traffic","Mobile_Apps","5","0","0","Y","extremely helpful","Having to shuttle kids from school to practices almost six days a week this app shortens every trip.","2015-08-31","US","2015"
"42880460","R2Q0BTIN9I1AE0","3869930691","219967210","Bloodborne Collector's Edition Strategy Guide","Books","5","0","0","Y","Five Stars","Amazing art, helpful maps, as well as giving a basic guide of the order you should visit each area","2015-08-31","US","2015"
"38392832","R2DKBF0HU9LO0E","B00M7UTFW0","109782764","Noah","Digital_Video_Download","1","0","0","Y","One Star","Worst movie ever","2015-08-31","US","2015"
"258788","R8ZV2A0BCR31B","B004NP2MN6","317199757","Dickies Scrubs Women's 82408 Gen Flex Junior Fit Contrast Stitch Lab Coat","Apparel","5","0","0","Y","Five Stars","Very pleased with the fit and quality.","2015-08-31","US","2015"
"25104474","R1JIKTNAVLPOEJ","B004MNKEIY","881588715","Smiffy's Women's Tequila Shooter Girl Dress","Apparel","5","1","1","Y","Good quality, good fit.","Very cute, fit just as expected. I was worried that it may too short but it wasn't. The white top is very see through so I will have to wear something under it but overall I really like it.","2015-08-31","US","2015"
"30122041","RNUHCJTNAW7ME","B0091VZCES","30281088","The Adventures of Robin Hood (1938)","Digital_Video_Download","5","0","1","Y","Must have for the family","A classic that kids should get to watch","2015-08-31","US","2015"
"36076198","R1BH2UVAXTR54R","0307887448","769273676","Ready Player One: A Novel","Books","5","0","0","Y","A Must Read!","Anyone who was born or raised in the 80's, and is a self described nerd or geek, will definitely love this book. Tons of references, virtual reality, and excellent writing so you can truly picture what the author's telling you. Definitely read this before the movie comes out in 2017.","2015-08-31","US","2015"
"25225549","R3C3V50DDD2LFP","B009U9S6FI","885790086","Man's Search for Meaning","Digital_Ebook_Purchase","5","0","0","Y","An inspiring book that I would recommend to everyone","The best book about happiness and meaning of live that I've read. This book will forever change my view about life and suffering.","2015-08-31","US","2015"
"19516078","R3ADPSFMT1JIL8","B004GJDQT8","36653526","Amazon Underground","Mobile_Apps","1","0","0","N","Won't download","I tried to download this but it won't give me the option to. I clicked the link on one of the games and I can't get it. Please fix. Using a LG tablet","2015-08-31","US","2015"
"47594244","RI452XC84Y5MP","B004Y1WCDE","948344990","Plex","Mobile_Apps","5","0","0","Y","LOVE LOVE LOVE this app","LOVE LOVE LOVE this app.  I use it to chromecast my personal video library to any TV in the house.","2015-08-31","US","2015"
"10909402","R3DFQO9TYA6T6N","B005CAPS0K","540640723","Insidious","Digital_Video_Download","5","0","1","Y","Five Stars","AWESOME!!!!","2015-08-31","US","2015"
"14344771","RCLURMP3YZ2MR","B00B000O8C","268103724","Dead Medium: Not Your Average Ghost Story","Digital_Ebook_Purchase","5","1","1","Y","I loved the book and the settings used","I loved the description in the prologue &#34;a chill rasped through the air, though there was no wind to carry it.&#34; I am gonna use a prologue in my sequel book. I loved the description of May and how she tried to cope with being dead. I would like to know what brokewell is? It is a great read that I would recommend.","2015-08-31","US","2015"
"5596610","R2T4N4CT2HT0Z2","B00JB3MVCW","109782764","Noah","Digital_Video_Download","1","0","0","N","NOT Based on the BIBLE!!","Did not like this movie!  Was expecting a Biblical rendition . .  not fictional.  This will totally confuse people that are looking for the truth through a movie rather than through reading/study.","2015-08-31","US","2015"
"1092397","R2T7019HY2973Y","B00NGYBMOK","208698540","Maps for Kindle Fire Free","Mobile_Apps","3","0","0","Y","Three Stars","Would like to see alternate routes in directions.","2015-08-31","US","2015"
"3857939","R15G37MA1WIEGE","B009AP4MGE","753677399","Glee Season 4","Digital_Video_Download","5","0","0","Y","Five Stars","Love it","2015-08-31","US","2015"
"32113012","RO72OD5QI1PE9","B00794ML3Y","736777616","In Treatment Season 1","Digital_Video_Download","4","0","0","Y","Four Stars","He's a great therapist some episodes and a lousy one on others. Entertaining.","2015-08-31","US","2015"
"46656638","R3KVT6T49HFER8","B004J4WLB4","150581703","The Language of Flowers: A Novel","Digital_Ebook_Purchase","4","0","0","N","A true insight into foster care and what it does ...","A true insight into foster care and what it does to a child's self concept.  And the effects for a lifetime.","2015-08-31","US","2015"
"15413170","R129U8D5TGJ5BJ","B007FEFLTO","801837857","Winter of the World (The Century Trilogy, Book 2)","Digital_Ebook_Purchase","5","0","0","Y","Five Stars","Excellent. Should be required reading in schools.","2015-08-31","US","2015"
"19206758","R3AUQN4L0TL1S3","B00IFORVEQ","731881208","Veronica Mars","Digital_Video_Download","5","0","0","Y","Oh how I miss this series","Love Veronica Mars","2015-08-31","US","2015"
"40541552","R19ZSBWPB2SHM9","B00KNWYDU8","779873629","Dragon City","Mobile_Apps","5","0","0","Y","Great app for kids","Great app. One of our grand kids loves it, and has become very good at it. Will keep children occupied for a long time.","2015-08-31","US","2015"
"22825352","RDXTEUJ8S19TV","B00JOT3HQ2","545270466","Geometry Dash Lite","Mobile_Apps","5","0","0","Y","Awesome","Awesome<br />Awesome<br />Awesome","2015-08-31","US","2015"
"14508295","R30JPE3H23KHYE","B000SDVOM2","776067145","MFH BDU Ripstop Field Cap Black size S","Apparel","3","0","0","Y","Three Stars","Good Quality, Fits small.","2015-08-31","US","2015"
"37555960","R1X5670OQ1DY4O","B00MILGKPI","600191340","Teenage Mutant Ninja Turtles","Digital_Video_Download","4","0","0","Y","Four Stars","Fun movie!","2015-08-31","US","2015"
"33072202","R2NQOD94S0JW88","B003K15IF8","74470286","Stoner (New York Review Books Classics)","Digital_Ebook_Purchase","4","0","1","Y","Four Stars","Excellent","2015-08-31","US","2015"
"16274513","RLYSBNHGV1SVH","B00881VLCE","76742616","Magic Jigsaw Puzzles","Mobile_Apps","5","0","0","Y","Relaxing fun","Lots of fun. Challenging , Takes ( 1 puzzle) me about 1 hr. to complete. Then you say cool !","2015-08-31","US","2015"
"36356088","R3L61CC6TF204P","B000M5B6Q0","182319267","Music and Lyrics","Music","5","0","0","Y","Five Stars","Excellentes musiques, excellents acteurs. On retrouve le film avec attachement en écoutant ce CD !","2015-08-31","US","2015"
"37050077","R50DMLJ7P2DB1","B000J6I0U2","736719325","Casanova [Blu-ray]","Video DVD","5","0","1","Y","Repeat Title capability","Repeat &#34;title&#34; function actually works. This is one of the rare blu ray dvds i've bought in a while that does not force me to have to mess with a remote at the end of the film if i want the title to repeat. Virtually all of my regular dvds will repeat with no trouble but that function is rarely enabled when they master the blu ray dvds.","2015-08-31","US","2015"
"30572290","RXWYQFYGEHEFX","B0063GORYU","750174226","Spider","Mobile_Apps","1","0","0","Y","One Star","Tooooooo many ads!","2015-08-31","US","2015"
"26831834","R13UQDRIKJNMBP","B0051UP5NQ","2686360","OfficeSuite Professional","Mobile_Apps","4","0","0","Y","app performs as expected.","Although I am proficient with Microsoft office, this app is not as intuitive. Took quite a bit of exploring to find the corresponding functions in this app.","2015-08-31","US","2015"
